Year,Month,Date,Hour,Minute,WinerID,LoserID,Result,WinnerWin,Draw,LoserWin,Before_Winner,Before_Loser,Delta,After_Winner,After_Loser
2020,11,4,2,42,1002,1001,5,1,0,0,2000.00,2000.00,10.50,2010.50,1989.50
2020,11,4,2,42,1002,1001,2,2,0,0,2010.50,1989.50,8.05,2018.55,1981.45
2020,11,4,2,42,1001,1002,2,1,0,2,1981.45,2018.55,8.60,1990.05,2009.95
2020,11,4,2,42,1001,1002,4,2,0,2,1990.05,2009.95,9.97,2000.03,1999.98
2020,11,4,2,42,1002,1001,5,3,0,2,1999.98,2000.03,10.50,2010.48,1989.53
2020,11,4,2,49,2001,2002,4,1,0,0,2000.00,2000.00,9.75,2009.75,1990.25
2020,11,4,2,49,2001,2002,4,2,0,0,2009.75,1990.25,9.53,2019.28,1980.72
2020,11,4,2,49,2002,2001,4,1,0,2,1980.72,2019.28,10.18,1990.90,2009.10
2020,11,4,2,49,2001,2002,1,3,0,1,2009.10,1990.90,7.34,2016.44,1983.56
2020,11,4,2,49,2002,2001,4,2,0,3,1983.56,2016.44,10.12,1993.68,2006.33
2020,11,4,2,49,3001,5001,5,1,0,0,2000.00,2000.00,10.50,2010.50,1989.50
2020,11,4,2,49,3001,5001,3,2,0,0,2010.50,1989.50,8.78,2019.28,1980.72
2020,11,4,2,49,3001,5001,4,3,0,0,2019.28,1980.72,9.32,2028.60,1971.40
2020,11,4,2,49,3001,5001,5,4,0,0,2028.60,1971.40,9.81,2038.41,1961.59
2020,11,4,2,49,3001,5001,4,5,0,0,2038.41,1961.59,8.89,2047.30,1952.70
2020,11,4,2,49,5002,6001,5,1,0,0,2000.00,2000.00,10.50,2010.50,1989.50
2020,11,4,2,49,5002,6001,2,2,0,0,2010.50,1989.50,8.05,2018.55,1981.45
2020,11,4,2,50,5002,6001,2,3,0,0,2018.55,1981.45,7.90,2026.45,1973.55
2020,11,4,2,50,6001,5002,4,1,0,3,1973.55,2026.45,10.34,1983.90,2016.11
2020,11,4,2,50,5002,6001,1,4,0,1,2016.11,1983.90,7.22,2023.33,1976.67
2020,11,4,2,50,1001,6001,6,1,0,0,1989.53,1976.67,11.08,2000.61,1965.59
2020,11,4,2,50,1001,6001,5,2,0,0,2000.61,1965.59,10.08,2010.69,1955.51
2020,11,4,2,50,1001,6001,4,3,0,0,2010.69,1955.51,9.13,2019.82,1946.38
2020,11,4,2,50,1001,6001,3,4,0,0,2019.82,1946.38,8.24,2028.06,1938.14
2020,11,4,2,50,6001,1001,5,1,0,4,1938.14,2028.06,11.58,1949.73,2016.48
2020,11,4,2,50,2001,1002,6,1,0,0,2006.33,2010.48,11.30,2017.63,1999.17
2020,11,4,2,50,2001,1002,5,2,0,0,2017.63,1999.17,10.28,2027.91,1988.90
2020,11,4,2,50,2001,1002,3,3,0,0,2027.91,1988.90,8.60,2036.51,1980.30
2020,11,4,2,50,2001,1002,3,4,0,0,2036.51,1980.30,8.42,2044.92,1971.88
2020,11,4,2,50,2001,1002,6,5,0,0,2044.92,1971.88,10.31,2055.23,1961.58
2020,11,4,2,51,3001,2002,2,1,0,0,2047.30,1993.68,7.74,2055.05,1985.94
2020,11,4,2,51,2002,3001,4,1,0,1,1985.94,2055.05,10.52,1996.46,2044.52
2020,11,4,2,51,3001,2002,4,2,0,1,2044.52,1996.46,9.21,2053.73,1987.25
2020,11,4,2,51,3001,2002,5,3,0,1,2053.73,1987.25,9.70,2063.43,1977.55
2020,11,4,2,51,2002,3001,6,2,0,3,1977.55,2063.43,12.36,1989.91,2051.07
2020,11,4,2,51,5002,5001,6,1,0,0,2023.33,1952.70,10.34,2033.67,1942.36
2020,11,4,2,51,5002,5001,6,2,0,0,2033.67,1942.36,10.07,2043.74,1932.29
2020,11,4,2,51,5002,5001,5,3,0,0,2043.74,1932.29,9.16,2052.90,1923.13
2020,11,4,2,51,5001,5002,6,1,0,3,1923.13,2052.90,12.92,1936.05,2039.98
2020,11,4,2,51,5001,5002,6,2,0,3,1936.05,2039.98,12.59,1948.64,2027.40
2020,11,4,2,51,2002,1001,4,1,0,0,1989.91,2016.48,10.05,1999.96,2006.43
2020,11,4,2,51,2002,1001,4,2,0,0,1999.96,2006.43,9.82,2009.79,1996.61
2020,11,4,2,51,2002,1001,4,3,0,0,2009.79,1996.61,9.60,2019.39,1987.01
2020,11,4,2,51,1001,2002,6,1,0,3,1987.01,2019.39,11.67,1998.68,2007.72
2020,11,4,2,51,2002,1001,6,4,0,1,2007.72,1998.68,11.13,2018.85,1987.54
2020,11,4,2,51,2002,1001,6,5,0,1,2018.85,1987.54,10.84,2029.70,1976.70
2020,11,4,3,6,3001,1002,5,1,0,0,2051.07,1961.58,9.42,2060.50,1952.16
2020,11,4,3,8,1002,3001,5,1,0,1,1952.16,2060.50,11.80,1963.96,2048.69
2020,11,4,3,12,3001,1002,3,2,0,1,2048.69,1963.96,8.12,2056.82,1955.83
2020,11,4,3,15,1002,3001,6,2,0,2,1955.83,2056.82,12.55,1968.39,2044.27
2020,11,4,3,16,3001,1002,6,3,0,2,2044.27,1968.39,10.27,2054.54,1958.12
2020,11,5,0,32,2001,5001,5,1,0,0,2055.23,1948.64,9.22,2064.45,1939.42
2020,11,5,0,37,2001,5001,4,2,0,0,2064.45,1939.42,8.36,2072.81,1931.07
2020,11,5,0,40,2001,5001,3,3,0,0,2072.81,1931.07,7.54,2080.35,1923.52
2020,11,5,0,44,2001,5001,3,4,0,0,2080.35,1923.52,7.39,2087.75,1916.13
2020,11,5,0,47,2001,5001,5,5,0,0,2087.75,1916.13,8.45,2096.20,1907.68
2020,11,5,23,21,2002,5002,4,1,0,0,2029.70,2027.40,9.72,2039.43,2017.67
2020,11,5,23,22,2002,5002,5,2,0,0,2039.43,2017.67,10.24,2049.66,2007.43
2020,11,5,23,26,2002,5002,4,3,0,0,2049.66,2007.43,9.28,2058.94,1998.16
2020,11,5,23,27,5002,2002,6,1,0,3,1998.16,2058.94,12.04,2010.19,2046.90
2020,11,5,23,31,2002,5002,5,4,0,1,2046.90,2010.19,10.06,2056.96,2000.14
2020,11,5,23,59,3001,6001,6,1,0,0,2054.54,1949.73,9.90,2064.44,1939.83
2020,11,6,0,1,3001,6001,5,2,0,0,2064.44,1939.83,9.00,2073.44,1930.82
2020,11,6,0,3,6001,3001,5,1,0,2,1930.82,2073.44,12.21,1943.03,2061.24
2020,11,6,0,6,3001,6001,5,3,0,1,2061.24,1943.03,9.08,2070.32,1933.95
2020,11,6,0,9,6001,3001,5,2,0,3,1933.95,2070.32,12.14,1946.09,2058.18
2020,11,6,0,20,1001,5001,6,1,0,0,1976.70,1907.68,10.36,1987.06,1897.32
2020,11,6,0,22,5001,1001,6,1,0,1,1897.32,1987.06,12.41,1909.73,1974.65
2020,11,6,0,22,5001,1001,6,2,0,1,1909.73,1974.65,12.09,1921.82,1962.56
2020,11,6,0,24,1001,5001,6,2,0,2,1962.56,1921.82,10.72,1973.29,1911.10
2020,11,6,0,25,5001,1001,6,3,0,2,1911.10,1973.29,12.05,1923.15,1961.23
2020,11,6,2,8,1002,5002,5,1,0,0,1958.12,2000.14,11.01,1969.13,1989.13
2020,11,6,2,10,1002,5002,6,2,0,0,1969.13,1989.13,11.51,1980.64,1977.62
2020,11,6,2,13,1002,5002,5,3,0,0,1980.64,1977.62,10.46,1991.10,1967.16
2020,11,6,2,14,1002,5002,6,4,0,0,1991.10,1967.16,10.94,2002.04,1956.22
2020,11,6,2,21,1002,5002,3,5,0,0,2002.04,1956.22,8.53,2010.57,1947.69
